owner,team,league,recipient,amount,election_year,party,new_party,new_amount
Arthur Blank,Atlanta Falcons,NFL,TESTER VICTORY FUND,"$5,400",2018,Democrat,Democrat,5400
Arthur Blank,Atlanta Falcons,NFL,GRIDIRON-PAC,"$5,000",2018,Bipartisan,Bipartisan,5000
Arthur Blank,Atlanta Falcons,NFL,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,"$5,000",2020,"Bipartisan, but mostly Republican",Bipartisan,5000
Arthur Blank,Atlanta Falcons,NFL,HOMRICH CONGRESS,"$2,800",2020,Republican,Republican,2800
Arthur Blank,Atlanta Falcons,NFL,EVAN BAYH COMMITTEE,"$1,000",2016,Democrat,Democrat,1000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$14,000",2018,Bipartisan,Bipartisan,14000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$12,000",2016,Bipartisan,Bipartisan,12000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BIDEN FOR PRESIDENT,"$5,000",2020,Democrat,Democrat,5000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$5,000",2020,Bipartisan,Bipartisan,5000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BOB CASEY FOR SENATE INC,"$2,700",2018,Democrat,Democrat,2700
Arthur J. Rooney II,Pittsburgh Steelers,NFL,REDWINGMCPAC,"$2,400",2018,Republican,Republican,2400
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BILL SHUSTER FOR CONGRESS,"$2,000",2016,Republican,Republican,2000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,FRIENDS OF PAT TOOMEY,"$2,000",2016,Republican,Republican,2000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,O'MALLEY FOR PRESIDENT,"$2,000",2016,Democrat,Democrat,2000
Arthur J. Rooney II,Pittsburgh Steelers,NFL,F.N.B. CORPORATION PAC,"$1,150",2016,Republican,Republican,1150
Arthur J. Rooney II,Pittsburgh Steelers,NFL,CONOR LAMB FOR CONGRESS,"$1,000",2020,Democrat,Democrat,1000
Bill Cameron,Dallas Wings,WNBA,TRUSTED LEADERSHIP PAC,"$25,000",2016,Republican,Republican,25000
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$13,103",2018,"Bipartisan, but mostly Republican",Bipartisan,13103
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$12,138",2016,"Bipartisan, but mostly Republican",Bipartisan,12138
Bill Cameron,Dallas Wings,WNBA,TED CRUZ VICTORY COMMITTEE,"$7,700",2018,Republican,Republican,7700
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$6,852",2020,"Bipartisan, but mostly Republican",Bipartisan,6852
Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,"$3,687",2016,Republican,Republican,3687
Bill Cameron,Dallas Wings,WNBA,HILLARY VICTORY FUND,"$2,700",2016,Democrat,Democrat,2700
Bill Cameron,Dallas Wings,WNBA,BETH LINDSTROM FOR US SENATE INC,"$2,700",2018,Republican,Republican,2700
Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,"$2,000",2018,Republican,Republican,2000
Bill Cameron,Dallas Wings,WNBA,MCSALLY FOR SENATE INC,"$1,000",2018,Republican,Republican,1000
Bill Cameron,Dallas Wings,WNBA,HERN FOR CONGRESS,"$1,000",2020,Republican,Republican,1000
Bill Cameron,Dallas Wings,WNBA,THOM TILLIS COMMITTEE,"$1,000",2020,Republican,Republican,1000
Bill Cameron,Dallas Wings,WNBA,FAMILIES FOR JAMES LANKFORD,$421,2016,Republican,Republican,421
Bill Dewitt Jr.,St. Louis Cardinals,MLB,BOEHNER FOR SPEAKER,"$18,675",2016,Republican,Republican,18675
Bill Dewitt Jr.,St. Louis Cardinals,MLB,PORTMAN VICTORY COMMITTEE,"$15,000",2016,Republican,Republican,15000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,"$10,000",2016,Republican,Republican,10000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,PORTMAN-OHIO VICTORY COMMITTEE,"$5,000",2016,Republican,Republican,5000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,THE COMMITTEE TO ELECT DELEGATES,"$5,000",2016,Republican,Republican,5000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$5,000",2018,Republican,Republican,5000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,MCCONNELL SENATE COMMITTEE,"$5,000",2018,Republican,Republican,5000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,"$5,000",2018,Republican,Republican,5000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,PROMOTING OUR REPUBLICAN TEAM PAC,"$5,000",2018,Republican,Republican,5000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,JEB 2016. INC.,"$2,700",2016,Republican,Republican,2700
Bill Dewitt Jr.,St. Louis Cardinals,MLB,"RON JOHNSON FOR SENATE, INC.","$2,700",2016,Republican,Republican,2700
Bill Dewitt Jr.,St. Louis Cardinals,MLB,LINDSEY GRAHAM 2016,"$2,500",2016,Republican,Republican,2500
Bill Dewitt Jr.,St. Louis Cardinals,MLB,WENSTRUP FOR CONGRESS,"$2,000",2016,Republican,Republican,2000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,BILL NELSON FOR US SENATE,"$1,000",2018,Democrat,Democrat,1000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,ALASKANS FOR DAN SULLIVAN,"$1,000",2020,Republican,Republican,1000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,BRAD WENSTRUP VICTORY FUND,"$1,000",2020,Republican,Republican,1000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,"$1,000",2020,Republican,Republican,1000
Bill Dewitt Jr.,St. Louis Cardinals,MLB,STEVE DAINES FOR MONTANA,$500,2020,Republican,Republican,500
Bill Foley,Vegas Golden Knights,NHL,1820 PAC,"$250,000",2020,Republican,Republican,250000
Bill Foley,Vegas Golden Knights,NHL,TRUMP VICTORY,"$250,000",2020,Republican,Republican,250000
Bill Foley,Vegas Golden Knights,NHL,NEW REPUBLICAN PAC,"$206,100",2018,Republican,Republican,206100
Bill Foley,Vegas Golden Knights,NHL,DEFENDARIZONA,"$100,000",2018,Republican,Republican,100000
Bill Foley,Vegas Golden Knights,NHL,SENATE LEADERSHIP FUND,"$82,300",2018,Republican,Republican,82300
Bill Foley,Vegas Golden Knights,NHL,RICK SCOTT VICTORY FUND,"$36,600",2018,Republican,Republican,36600
Bill Foley,Vegas Golden Knights,NHL,MCSALLY ARIZONA VICTORY FUND,"$20,400",2018,Republican,Republican,20400
Bill Foley,Vegas Golden Knights,NHL,HELLER VICTORY COMMITTEE,"$17,700",2018,Republican,Republican,17700
Bill Foley,Vegas Golden Knights,NHL,ROSENDALE VICTORY FUND,"$15,300",2018,Republican,Republican,15300
Bill Foley,Vegas Golden Knights,NHL,HOUSLEY FOR SENATE COMMITTEE,"$5,400",2018,Republican,Republican,5400
Bill Foley,Vegas Golden Knights,NHL,JOSH HAWLEY FOR SENATE,"$5,400",2018,Republican,Republican,5400
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,TRUMP VICTORY,"$17,501",2020,Republican,Republican,17501
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,600",2020,Democrat,Democrat,5600
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,"$5,600",2020,Democrat,Democrat,5600
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,HELLER FOR SENATE,"$5,400",2018,Republican,Republican,5400
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,400",2018,Democrat,Democrat,5400
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,"$5,400",2018,Democrat,Democrat,5400
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,AMERICAN POSSIBILITIES PAC,"$5,000",2018,Democrat,Democrat,5000
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,BIDEN FOR PRESIDENT,"$2,800",2020,Democrat,Democrat,2800
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ACTBLUE,"$1,120",2020,Democrat,Democrat,1120
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ROMNEY FOR UTAH INC,"$1,000",2018,Republican,Republican,1000
Billie Jean King,Los Angeles Dodgers,MLB,AMY FOR AMERICA,"$2,800",2020,Democrat,Democrat,2800
Billie Jean King,Los Angeles Dodgers,MLB,"AMY MCGRATH FOR SENATE, INC.","$2,800",2020,Democrat,Democrat,2800
Billie Jean King,Los Angeles Dodgers,MLB,BIDEN FOR PRESIDENT,"$2,800",2020,Democrat,Democrat,2800
Billie Jean King,Los Angeles Dodgers,MLB,DSCC,"$1,400",2020,Democrat,Democrat,1400
Billie Jean King,Los Angeles Dodgers,MLB,JAIME HARRISON FOR US SENATE,"$1,400",2020,Democrat,Democrat,1400
Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$3,000",2018,Bipartisan,Bipartisan,3000
Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$1,000",2016,Bipartisan,Bipartisan,1000
Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$1,000",2020,Bipartisan,Bipartisan,1000
Bobby Patton,Los Angeles Dodgers,MLB,HILLARY VICTORY FUND,"$36,100",2016,Democrat,Democrat,36100
Bruce Sherman,Miami Marlins,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Bruce Sherman,Miami Marlins,MLB,RO FOR CONGRESS,"$2,700",2018,Democrat,Democrat,2700
Bruce Sherman,Miami Marlins,MLB,RO FOR CONGRESS,"$1,000",2020,Democrat,Democrat,1000
Bryan Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Bryan Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Bryan Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,"$5,600",2020,Democrat,Democrat,5600
Bryan Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,"$5,400",2018,Democrat,Democrat,5400
Bryan Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Bryan Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,"$2,700",2016,Democrat,Democrat,2700
Bryan Glazer,Tampa Bay Buccaneers,NFL,RICK SCOTT FOR FLORIDA,"$2,700",2018,Republican,Republican,2700
Carole Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$10,600",2020,Republican,Republican,10600
Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000",2018,Bipartisan,Bipartisan,10000
Carole Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,"$5,600",2020,Republican,Republican,5600
Carole Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,"$5,600",2020,Republican,Republican,5600
Carole Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC.,"$5,400",2018,Republican,Republican,5400
Carole Moreno,Los Angeles Angels of Anaheim,MLB,TRUMP VICTORY,"$5,400",2018,Republican,Republican,5400
Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000",2016,Bipartisan,Bipartisan,5000
Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000",2020,Bipartisan,Bipartisan,5000
Cathy Engelbert,Commissioner,WNBA,DELOITTE POLITICAL ACTION COMMITTEE,"$3,750",2020,Bipartisan,Bipartisan,3750
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,"$1,850,000",2018,Republican,Republican,1850000
Charles Johnson,San Francisco Giants,MLB,RIGHT TO RISE USA,"$1,500,000",2016,Republican,Republican,1500000
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,"$1,300,000",2018,Republican,Republican,1300000
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,"$1,000,000",2020,Republican,Republican,1000000
Charles Johnson,San Francisco Giants,MLB,TAKE BACK THE HOUSE 2020,"$750,000",2020,Republican,Republican,750000
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,"$500,000",2020,Republican,Republican,500000
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,"$472,700",2018,Republican,Republican,472700
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,"$435,200",2020,Republican,Republican,435200
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,"$300,000",2016,Republican,Republican,300000
Charles Johnson,San Francisco Giants,MLB,REPUBLICAN NATIONAL COMMITTEE,"$282,400",2016,Republican,Republican,282400
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,"$244,200",2016,Republican,Republican,244200
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,"$150,000",2018,Republican,Republican,150000
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR OHIO FUND,"$100,000",2016,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,GREAT AMERICA PAC,"$100,000",2016,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,NRSC TARGETED STATE VICTORY COMMITTEE,"$100,000",2016,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,"$100,000",2016,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,NEW REPUBLICAN PAC,"$100,000",2018,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,"$100,000",2018,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,1820 PAC,"$100,000",2020,Republican,Republican,100000
Charles Johnson,San Francisco Giants,MLB,MCCONNELL VICTORY COMMITTEE,"$81,600",2020,Republican,Republican,81600
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,"$75,000",2016,Republican,Republican,75000
Charles Johnson,San Francisco Giants,MLB,INTEGRITY NJ,"$75,000",2018,Republican,Republican,75000
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR FLORIDA FUND,"$50,000",2016,Republican,Republican,50000
Charles Johnson,San Francisco Giants,MLB,VICTORY 2016,"$50,000",2016,Republican,Republican,50000
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,"$50,000",2018,Republican,Republican,50000
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$35,600",2020,Republican,Republican,35600
Charles Johnson,San Francisco Giants,MLB,NRSC,"$35,000",2018,Republican,Republican,35000
Charles Johnson,San Francisco Giants,MLB,THE 2016 COMMITTEE,"$30,000",2016,Republican,Republican,30000
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$30,000",2018,Republican,Republican,30000
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,"$25,000",2016,Republican,Republican,25000
Charles Johnson,San Francisco Giants,MLB,"WE THE PEOPLE, NOT WASHINGTON","$25,000",2016,Republican,Republican,25000
Charles Johnson,San Francisco Giants,MLB,FLORIDA VOTES COUNT,"$25,000",2018,Republican,Republican,25000
Charles Johnson,San Francisco Giants,MLB,STARS AND STRIPES FOREVER PAC,"$25,000",2018,Republican,Republican,25000
Charles Johnson,San Francisco Giants,MLB,TEXANS FOR A CONSERVATIVE MAJORITY,"$25,000",2020,Republican,Republican,25000
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$17,800",2016,Republican,Republican,17800
Charles Johnson,San Francisco Giants,MLB,RENACCI FOR OHIO VICTORY FUND,"$15,000",2018,Republican,Republican,15000
Charles Johnson,San Francisco Giants,MLB,BURR NC VICTORY FUND,"$12,700",2016,Republican,Republican,12700
Charles Johnson,San Francisco Giants,MLB,STEIL VICTORY FUND,"$12,700",2018,Republican,Republican,12700
Charles Johnson,San Francisco Giants,MLB,MIMI WALTERS VICTORY FUND,"$10,800",2018,Republican,Republican,10800
Charles Johnson,San Francisco Giants,MLB,GRASSLEY HAWKEYE FUND,"$10,400",2016,Republican,Republican,10400
Charles Johnson,San Francisco Giants,MLB,TOOMEY PENNSYLVANIA VICTORY FUND,"$10,000",2016,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000",2016,"Bipartisan, but mostly Republican",Bipartisan,10000
Charles Johnson,San Francisco Giants,MLB,MISSOURI RISING ACTION,"$10,000",2018,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,PROTECT THE HOUSE,"$10,000",2018,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,TRUE NORTH PAC,"$10,000",2018,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000",2018,"Bipartisan, but mostly Republican",Bipartisan,10000
Charles Johnson,San Francisco Giants,MLB,SCALISE LEADERSHIP FUND,"$10,000",2020,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,SENATE CONSERVATIVES ACTION,"$10,000",2020,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,UTAH REPUBLICAN PARTY,"$10,000",2020,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),"$10,000",2020,Republican,Republican,10000
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),"$10,000",2020,"Bipartisan, but mostly Republican",Bipartisan,10000
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,"$7,500",2020,Republican,Republican,7500
Charles Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,AMANDA MAKKI FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,"ANDY BARR FOR CONGRESS, INC.","$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,ANNA PAULINA LUNA FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,ASHLEY HINSON FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,"BOLDUC 2020, INC.","$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,BRIAN FITZPATRICK FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,CARLA SPALDING FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,CARMELITA FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,CAROL FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,CHIP ROY FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,CHURCH FOR WISCONSIN,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,CUMMINGS FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,DARRELL ISSA FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,DON BACON FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,DOUG LAMALFA COMMITTEE,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,ELISE FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,FISCHBACH FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF HAGEDORN,"$5,600",2020,Republican,Republican,5600
